y,x
8.06E+01,-3.07E+00
8.42E+01,-2.98E+00
8.73E+01,-2.92E+00
8.72E+01,-2.91E+00
8.91E+01,-2.84E+00
8.96E+01,-2.80E+00
8.99E+01,-2.70E+00
9.01E+01,-2.70E+00
9.24E+01,-2.63E+00
9.59E+01,-2.48E+00
1.01E+02,-2.36E+00
1.01E+02,-2.32E+00
4.02E+02,-1.50E+00
3.91E+02,-1.46E+00
5.68E+02,-1.27E+00
6.35E+02,-1.21E+00
7.33E+02,-1.10E+00
7.59E+02,-1.05E+00
8.94E+02,-9.15E-01
9.91E+02,-7.14E-01
1.09E+03,-5.66E-01
1.08E+03,-5.45E-01
1.12E+03,-4.00E-01
1.18E+03,-3.09E-01
1.26E+03,-1.09E-01
1.27E+03,-1.03E-01
1.29E+03,1.00E-02
1.33E+03,1.19E-01
1.35E+03,3.77E-01
1.41E+03,7.90E-01
1.43E+03,9.63E-01
1.42E+03,1.01E+00
1.44E+03,1.12E+00
1.46E+03,1.57E+00
1.47E+03,1.84E+00
1.45E+03,2.05E+00
1.46E+03,2.20E+00